ren,wai,jixiong,description
1,1,吉,性格温和直率、有理性、善计谋、好静勉力持家。多少有猜疑心，喜财利。如能守法将有一定社会实力。
1,2,吉,善容忍少言多行，外柔内刚，能劳动图发展，但有猜疑心，三才不善者有性急的缺点，大多合作不利有皮肤病。
1,3,吉,有贵人相助，人缘颇佳，爱好社交，爱人尊重，好财利，勤俭持家，仁慈可喜，善于外交，三才不良者不遇。
1,4,吉,性格稳健，善忍耐温良亲切，礼貌周到，慷慨好施，易患皮肤病，中风不邪感冒等。三才良善者可望平安。
1,5,吉,性格固执，不善应酬，少劳多得，能提高信誉实力的人有成功机会，但切勿鄙视他人否则误事错失扶持的良机。
1,6,半吉,好奇心强，但不求实干，如不自轻心，则可望成功，言行有言的人，不会有大过失，多患近视、皮肤病，不宜与人合作。
1,7,半吉,外表平静，内心不屈，富于理性，但难免猜疑心，好茶汤，易患　近视、神经衰弱。
1,8,凶,谦虚仁厚，宁为他人而不顾自己义无反顾，其中有得重有而成功者，自力更生，不宜与人合作，易患皮肤病。
1,9,大吉,温良亲切善为交际异常广交，受人尊重，一帆风顺，而有侠义之心，扶危济贫者，可高处众人之上。
1,0,大吉,富于理性，不屈不挠，且有充实力量，必获相当的成功，能慷慨施贫者，有大成功之希望，易患皮肤病。
2,1,吉,有知识谋略，外柔内刚，仁慈可佳，三才不善者有过刚之嫌，有胃疾、肝病之患。
2,2,半吉,善容忍，巧于创造自己的根基，温和中有执抑性各嫉妒心，爱财利，好静思，好茶汤，而易患皮肤、胃病等。
2,3,吉,急性而活跃，猜疑心太强，三才不善者，有腹部及胃酸过多之患，善良人可得平安。
2,4,吉,富于吸引力，如有人扶持可大成功，顺利发展，大多慷慨好施，易受破财之患及腹部之疾。
2,5,半吉,外表柔和，内心刚毅，爱好名声，重理而不轻易服人，性格易变，有猜疑嫉妒心，少劳多得，勤勉者可成功但有胃病。
2,6,凶,稍有执拗性格或坏癖，猜疑心强，鄙视他人，但略有狭义之心，如能培养温和的涵养也可渐进佳境，恐易患胃腹、皮肤病。
2,7,凶,表面柔和、内有怒气，处处为了别人而不顾自己吃亏，经常被人所害，三才良者可安全，有视力不佳，胃腹病。
2,8,凶,表面沉默劳心费力易遇不平之事，不善与人在事业合作易患腹部疾病胃病，皮肤、视力减退等病或外伤。
2,9,半吉,富有忍耐力，大多理解力强而不顾实现，能守信誉，认真做事者大多有大致，有不大、主幸，恐有皮肤、胃疾、外伤等。
2,0,凶,虽富于理想，但也难免有猜疑心，虽善斗谋，重德望，仍难免劫财之灾，应慎重察人而行事，以免灾祸有外伤、胃病之患。
3,1,大吉,感情敏锐，善为社交，明朗活泼，善为创造根基，有出类拨萃的活动能力，家庭生活快乐。三才善良者有大运。
3,2,吉,好社交、心胸开阔而尚礼富理性，略有虚荣心，是常生活浪费，三才善良者勤俭持家，有皮肤病。
3,3,吉,好礼而多情，感情敏锐，气短易怒，爱好权势和声誉，喜装饰，恋美貌，多礼貌热情。
3,4,半吉,表面稳静，胸中却有爆发性气氛，虽机敏而有手段，而常常徒费精力，时常有虚伪的举动，戒慎色情者免于损财。
3,5,大吉,性格乐观不马虎，心坚实沉默，富有而发达，妻也富有。
3,6,半吉,富有侠义多情，为人诚实率真，易被人误伤，但终会水清鱼见，得扶持而成功。
3,7,半吉,善辩得罪人，大多可占上风，强自作主张，能心平气和者也可成功。
3,8,半吉,虚荣心强，快热快冷，无感情倾向，受外部刺激易浪费，易外伤，数佳者可安全。
3,9,半吉,待人虽有礼但要领不佳，不得他人的喜欢，多散财受人欺负，不能长期安稳。
3,0,凶,虽乐善好施，但不能使人满足，劳而无功，易被人迫害劫财伤害。
4,1,大吉,有财妻家福，足而受福荫，成功顺利富有社交吸引力，受众人扶持，贵人相助，而成大气候。
4,2,吉,热情好礼乐善好施，表面乐观，内实劳苦，而24数理在人格者可白手起家，24数以外易有胃腹及外伤。
4,3,凶,明朗活泼，富于礼性，多少有失信的缺点，守信用者也可成功发达，数理　不吉者易患胃心脏疾病。
4,4,凶,表面稳静多礼，内心有爆发性气氛，虽好施贫者，但易受无赖汉的欺骗，而徒费精力，易患皮肤、肝脏胃病。
4,5,吉,好礼急进有很广阔的活动能力，有智谋及机敏的手腕，气短易怒，重权势，爱好声誉，多少有冒进之嫌，如慎勿小题大做，则可成功发展。
4,6,半吉,待人多礼诚实率真，易被人误会，但终见黄河水清被扶持而达成功，大多慷慨多施，易生皮肤、外伤多患，吉者可平安。
4,7,凶,反对他人恶劣作风多管闲事，易得罪人损已损人，易生不平不满，凡事不辩理，一时成功，终告失败，数吉者可得平安。
4,8,凶,刚直性急，有反抗性，粗暴激烈，短虑而失败，大多火气盛，有肝脏心脏之疾外伤，数吉者可得平安。
4,9,凶,谦虚有理为他人而不顾自己，常被劫财，暗害，有疏冷之缺点，易患视力减退，外伤等，数吉者轻微之患。
4,0,大凶,中慷慨好施，但要领不佳劳而无功易受外人暗害，另有雅量，但易受无赖汉之骗，难以使他们满足，易患皮肤，外伤之症。
5,1,吉,热情缺乏决断，少说多干，而天格五行为金者有大发展之兆。
5,2,半吉,富有人情味，待人仁慈诚实为人排忧解难不辞劳苦，表情多变化，沉默寡言，若有苦闷难言不外露。
5,3,大吉,性情温和周到富于社交缺乏牺牲精神，如精打下良好基础大发展，大成功，如听之任之，则失去一半的机会。
5,4,吉,仁义博爱，受人尊敬诚恳待人温厚柔和，刻苦耐劳，乐善好施，易患皮肤病。
5,5,吉,温良忠厚，做事沉着，执拗心强，有大志讨厌小事，性偏倔强，易亲易离，能平和公正者受他人扶持而成功。
5,6,吉,有度量，逢事缺乏断力易热易冷，做事半途而废，如能克服上述缺点，则可发达成功，大多有皮肤病。
5,7,大吉,不轻易妥协，能接受别人批评但不在以后行动中依然如故，无法改变，活动力强，能和气从事者，可以发达大成功。
5,8,吉,有潜在活力，不应为权势讨厌细事，一发无法收拾，会想出阴谋排出异己，掩盖自己的过失，数吉者步步高升，事事如意。
5,9,凶,做事快捷，但毛糙，欠明朗，口才欠佳心意完全无露易患外伤、皮肤病，数吉者较轻微。
5,0,凶,沉着，口才欠佳，语言多少唐突，好出风头，易使人及感应，慎戒言行，易患皮肤病、外伤。
6,1,吉,能隐忍，不活泼，猜疑心强，若能修身涵养之际待人者，可得外财，易患胃，腹之疾，数吉者可望　平安。
6,2,半吉,外表温厚，富侠义之气，乐于助人，但往往不能使人满足有时被欺骗而失财，大多劳而无功，易患外伤等。
6,3,吉,富有豪杰似人物，受社会惠泽，容易随心所欲能平和者可成功发达，聚财而数不吉者易患疾。
6,4,半吉,富侠义之，行为好似英雄豪杰，行侠仗义，好施贫者，受人欢迎，恐有腹疾宜多运动。
6,5,吉,诚实憨厚，言行深慎，观念性强，木纳、保守、缺乏果断，数不吉者，易患　胃，腹之疾，数吉者可望平安。
6,6,半吉,富有而侠义者的豪杰人物，有的可舍己成仁，性格稍迟钝，执着心，缺乏通融性，易生胃，腹疾，数吉者可望平安。
6,7,吉,温厚老实，往往为人打抱不平，舍己成仁，自己吃亏，其反而是缺乏进取心易患胃、腹之病，数吉者可望成功，并身心健康。
6,8,半吉,性温和而有勇气，忍心力强，临大难也不动声色，外表显得沉默，朴实，不惜生命，数不吉者易患　胃、腹疾病。
6,9,凶,性格直，沉着、抑郁，疑心重嫉妒心强，嫉妒一般社会人事，发生反感以致失和，易患近视，胃疾，外伤等。
6,0,凶,自我心强，不易接受教训，易为一时之气争斗，易受煽动，被劫财，大多为替人担保受损，恐有胃、皮肤、香港脚之疾，外伤。
7,1,半吉,有才能，但性情急躁短虑，易招内外不和，易为芝麻小事，而怒气冲天，如恕躁而发生武烈酷薄的行为，数吉者可平安。
7,2,凶,慷慨侠义，但易受煽动而动财，于合作事业不利，往往劳而无获，反受人诽谤，易患皮肤病，外伤，视力减退等。
7,3,凶,有进取心，但性刚固执，有侠义之气，但有自大之嫌，若有远大眼光，有修养者，可望成功。
7,4,凶,性刚固执，但心软仁慈，乐善好施，愿舍己为人，往往遇恩将仇报之事，易皮肤病，外伤等。
7,5,大吉,有社交能力，才智过人，富于理解　力，不妥协，不马虎，心坚实活动力强，认真行事，大发财，广进财源。
7,6,吉,性温和，有勇气，忍耐力强，为人重义，不惜牺牲，大多沉默朴实，数不吉者，可能遭难。
7,7,吉,胸怀大志，奋争心强，讨厌小事，外表温存，内含刚气，行为好英雄豪杰但生煞伐之风，数吉者柔刚和平。
7,8,吉,有侠义之气，且能大扬其名，必顺温柔和平，勿为人所欺，并注重社交修养，方可成功顺利发展，慎无贫求，刚免灾祸。
7,9,吉,智力深厚，软不硬，柔中带威，气魄威望，爱好优美文雅的事物，若有牺牲精神必得众人扶持，事业圆满，大发达。
7,0,凶,有才干，长于口舌，缺乏代取之势，对外的好欢娱，疏废良机易失，恐有皮肤疾、外伤等。
8,1,吉,诸事重重，个性格略刚强，若能柔和从事勤勉工作得众人真心敬仰，声望这播，易亲近。
8,2,凶,诸事不如意，言行易失不慎，故易招致引火烧身之危，能三思而后行，可化凶为吉，易患皮肤病外伤，视力减退之疾。
8,3,凶,做事有勇气及热心，性刚强、讲义气，仁义心强，大多易受迫害，如无立足之地，易心脏肺病。
8,4,凶,有柔刚侠义心，能隐耐，有完成大事业的气魄，有先见之明，虽易受破坏但能隐忍不与计较。乐善好施。
8,5,大吉,不据为权势，有排除万难的气魄，不妥协，不马虎，处事稳妥富有活动力办事认真，可大发达，但有拖延的缺点。
8,6,吉,慈仁，忠节，少说多干，稳重有耐　力，有忍耐力，处事迟迟不快。
8,7,半吉,讲情义，奋斗心强，易与他人发生争执，或纠纷，事后冷静下来能分明是非，不再与人计较，数吉者可望成功。
8,8,半吉,能隐忍，不易发脾气，但在忍无可忍时，若发起脾气来，可比雷声响，天翻地覆，难以平息。
8,9,平,是非判断力强，聪明多谋，富理智，乐善好施，有侠义之气，受人敬，大发达。
8,0,平,重义轻财，果毅果断，乐于助人，而自己吃亏，往往有被人设计谋害，损财去物等不利。
9,1,大吉,温厚，有才智，在技艺方面有特长，故向这方面发展必有成就大成功，事业环境圆满，有社交能力。
9,2,吉,足智多谋，广于社交，言行坚实，恪守信用刻苦而耐劳，不贪财物，有施财给贫困人家的度量，恐有皮肤疾病。
9,3,半吉,足智多谋，思维敏捷，自我心强，略有心理变态，固执成性，易患皮肤、腹之疾。
9,4,半吉,是非判断力强，富于活动能力，但过于逞强好胜，能宽容他人，有救困救贫之侠义气度。易患胃、腹、皮肤等疾。
9,5,半吉,有积极进取的勇气，但注定有百般阻碍困难迫害殊多，数吉并能努力而行的人，终能成功，但有劫财之虑。
9,6,半吉,有强活动力的活动家，心直有疏财重义的气慨，易被人迫害，或受煽动，劫财殊多。
9,7,大吉,有口才富智谋，善于舌战，强化自己的主张，不甘失败大发达，大成功。
9,8,吉,有深刻智慧和宽阔的度量柔中带威，由于缺乏勇气，明知他人有诈而不能矫正，陷入受累的境地，数吉者成功。
9,9,吉,有口才聪明多谋，性格稍微内向，如能平正处事，可以发达成功，增加财富，慎戒利己，不要过于守财。
9,0,半吉,才智深厚富理性，有大志大望，讨厌做细事，性刚直不畏万难，有侠义之勇，慷慨好施。
0,1,半吉,才智优秀，多情，好动，应三思而后行，勿急勿躁，安如泰山，略有过于豪猛的缺点，应慎戒邪途则可免遭灾祸。
0,2,半吉,好逞匹夫之勇，易入歧途，应慎戒色情，以免耽误一生前程，处世圆满，重义好施。
0,3,凶,富于智谋，但好出风头，做事欠考虑，自我性强，缺乏　服从心，易得罪人，恐患视力减退，胃，腹等病。
0,4,凶,易颠沛流离，败亡，如不真心真意干事，不但徒劳无功，还念感火烧身，易生外伤、皮肤、胃病。
0,5,半吉,性格隐忍，不大活泼，猜疑心强，如能修身涵养交际，得人和，虽一时困苦，仍有成功　之日，易胃、眼疾病。
0,6,凶,虽足智多谋，但危急时不能处理，恰当慷慨疏财仗义，往往不善应变，多煽动，劳而无功，易患胃病。
0,7,半吉,有人才大智有统率众人的力量，社交完满，但过于逞强好胜，应慎戒误入歧途，能平正处事者可成功。
0,8,半吉,温和忠良，有完成大业的气魄，慎勿走入歧途，以免耽误一生的大好时机，易患胃，腹病。
0,9,半吉,才智深厚有豪胆，偶尔一动则变无穷，大多爱好权势及积累，能勤俭持家，易患胃腹病。
0,0,凶,有口才，富侠气，济困救贫，好打抱不平，恐因急躁而惹是非，易胃，腹，皮肤病。
