人格,天格,成功运,地格,基础运
1或2,1或2,（吉）同为木，相辅相成，成功顺调平安实现目的。,1或2,（吉）基础安泰，能得他人帮助，其雄心常发。
1或2,3或4,（吉）上进顺利，目的能迅速容易达到。,3或4,（吉）无害安泰，但天格为9或10时，则天地格相克，而变为凶兆。
1或2,5或6,（吉）表耐吉祥，但成功困难，虽用尽苦心，要达到目的，较迟缓，易患肠胃病。,5或6,（吉）安稳不变，动如立磬石。
1或2,7或8,（凶）命运被庄抑，导致难伸不满的结果，胸部被克，患神经衰弱，呼吸器官等难治之症。,7或8,（凶）境遇变动异常，常受压迫，又常缝部下的攻击压力，如坐针毡之上。
1或2,9或0,（吉）如草木受雨露之惠，其生长发育无障碍，进步向上。,9或0,（凶）一时虽能顺利发展，但不时可能有衰亡，病弱的症兆。
3或4,1或2,（吉）受上级长辈的照顾、关心，能顺利成功发达。,1或2,（吉）境遇颇稳固，能得部下之力，地位、财产均稳妥。
3或4,3或4,（吉）受同僚的辅育而障碍，但如地格为5或6时虽有一时成功也可能。,3或4,（吉）可得一时的吉运，但基础薄弱，缺乏耐久力，但天格为1或2时则为吉利。
3或4,5或6,（吉）能实现希望目的功成名就，但数理不良者却可能不遇机会。,5或6,（吉）基础坚实，身心安泰，但天格为3或4时，则内部易产生分离倾向，且易陷于短命。
3或4,7或8,（凶）上进伸展较困难，心身劳累易神经衰弱，易患肺病等症，严重的有自发难症死的可能。,7或8,（凶）表面安泰内实不然，家庭或部下之间易生纠纷，也易患精神负担过重和呼吸器官的疾病。
3或4,9或0,（凶）成功被严重压抑，且有灾祸的急变，易患心脏麻痹或脑溢血，严重者有自杀等情形发生。,9或0,（凶）严重不安定有意外的灾变，可导致财产生命的损失。
5或6,1或2,（凶）虽有不满不平之状，但以本来的质量德量，可保无大过，易患肠胃病和腹部之症。,1或2,（凶）境遇不安定屡次变化漂浮不定，易患肠部疾病。
5或6,3或4,（吉）有长辈的上级的爱护，或者得祖辈的余德可保平安无事。,3或4,（吉）安定能逃灾害，能获得意外发展。
5或6,5或6,（凶）性格稍迟钝稳重易亲近也易离开，成功虽然较迟，但总体上是幸福的。,5或6,（凶）大体上能平静，顺利幸福，若天格为5或6时，则生性不活泼庸劣浅陋，女性则少贞操的品德。
5或6,7或8,（吉）成功顺调，顺利达到目的。,7或8,（吉）虽有消极的倾向，但能安定，有所发展。
5或6,9或0,（半吉）处境稍有困难，且频现障碍困难，如果控制驾驶力强，也可以达到目的。,9或0,（凶）严重不安宁，灾祸接连不断，属急变，投落，变死的配置，易患脑溢血。
7或8,1或2,（凶）虽有困难，努力奋斗也可能成功，但一般却身心劳累易遇不乎。,1或2,（凶）外表安定，其实不然，若不慎则易倾覆，易患神经衰弱、肺部及其他难症。
7或8,3或4,（凶）成功被压抑，除特别例外，一般难伸难满，也有发狂自杀的可能。,3或4,（凶）严重不安定，易违失本性，思想变化无常，易患呼吸器官、脑部的疾病，到老年更显凶兆。
7或8,5或6,（吉）受上辈上级的惠泽深重，身健和能努力发展成功。,5或6,（吉）境遇安定稳固身心安定，德性坚实，而奏大功。
7或8,7或8,（凶）个性刚硬，心地狭窄，易生不和或不测之灾祸，易酿成夫妻争端痛苦不安。,7或8,（凶）个性过于明硬固执，故反遭灾祸，陷入不和或孤独，天格为7或8时，有害于健康，灾祸更甚。
7或8,9或0,（吉）万事顺调，能达成目的。,9或0,（凶）不遇苦，而自苦，有急变衰落的悲运。
9或0,1或2,（凶）一面成功顺调，一面家庭内部不和不幸，属半福半祸。,1或2,（凶）境遇虽安定，数理难免有凶灾易患肺脏或肾脏疾病。
9或0,3或4,（凶）虽有大成功者，一般多处于离乱，穷困之中易惹祸。,3或4,（凶）急祸，急变，大灾之象，易患心脏疾病。
9或0,5或6,（凶）劳而无功，反受灾难，招致他人嘲笑。,5或6,（凶）表面看来安定，但不知何时将被卷入不安定之中。
9或0,7或8,（凶）受父祖的惠泽得意外的照料，数理若凶时，必招致家庭中的困难及病灾等。,7或8,（凶）基础稳固，有财名，但难免数凶而有不平不满之事。
9或0,9或0,（凶）素行不修，荒唐散败，若因与地格的关系而大成功，变可能变为泡沫梦幻。,9或0,（凶）具有发挥于一时的大能力、大势力，易变成意外之灾易陷入孤独悲凄。
