人格,描述
1,性情多好静，富于理智，温厚中带有华丽的气质，具有不屈不挠的精神，表面看来似非大活动家，其内部含有着相当实力，必取得相当的成功，其人生虽属渐进型但终能成为首领，还可获得家庭的幸福，但人格含有嫉妒心，大都好财利。
2,其个性隐忍不动，意志坚强，善耐困难，表面温和，内含怒气，也有固执倾向变怪者，较好异性，猜疑心重，嫉妒心特强，故易损害健康，切宜警戒。
3,性急进，血气旺益，手腕灵敏，富活动力，名利心甚重，智谋才略俱备，感情锐猛，有如燃火之气魄，但也有气狭者，大都富有成功运，盛名时，但也可能中途多出枝节。
4,其内心具有爆发性的品质，表面却极不平稳，如火燃湿木一样，虽起浓烟，而不能成火之象，往往有抑制心里不敢告诉他人的性格，表里矛盾，徒耗精力，擅长手腕，长于舌辩，有虚伪，多曲折者，有病弱，短命，家属子女缘薄者，总之家庭不幸者居多。如人格部为24数，则多温顺智有谋，易发财，可得权利名举等幸运。
5,心多洗炼，容易亲近，温和沉着，有雅量，对人有同情心，荣誉心强，属于享受家庭幸福的亲近的反面，又有易疏冷的缺点，其嫉妒心稍强。
6,其表面温和，内心刚毅，外表厚重，能得相当的成功，而享受家庭的幸福，富有义狭同情之心，无奈人生历程飘浮不定身多病磨难而不能平静，一面可能有杰出之士，一面又可有愚钝之，如果不配合地格慎重剖析，则很难判断准确，但此数好色多情者居多。
7,其意志坚强大都攻击性强，果敢失断，但缺乏同化力，吃苦耐劳，好争辩，遇事不会融通，多为强雄的气魄，追逐权势自我别识强烈。
8,顽固如同矿石，刚毅木纳，感觉灵敏失去知觉，果决志向坚定，而不动摇，对事爱打抱不平，若善加修养，必能光明磊落，为有如黄钟敲之则响，此数不适合女性，有强硬之嫌，嫌疑，厌恶，不满意，讨人嫌。
9,其活动力强，社交广，有如瀚荡之波，生性好动，有智慧，富理性，大都好权利名誉，但因四处奔波徒耗精力，易陷于放纵荒诞贪财好权是其特性。
10,其性迟渫不动，欠缺活动力，但易受冲动一旦时机来临，有如山风谷雨，心潮澎湃，易失败破产有才智，每思不忘功名利禄。
