xing,ming1,ming2,total_stroke,xing_stroke,ming1_stroke,ming2_stroke
乙,齗,,1,1,0,
二,齗,,2,2,0,
三,齗,,3,3,0,
才,齗,,4,4,0,
王,齗,,5,5,0,
打,齗,,6,6,0,
车,齗,,7,7,0,
门,齗,,8,8,0,
飞,齗,,9,9,0,
马,齗,,10,10,0,
习,齗,,11,11,0,
开,齗,,12,12,0,
义,齗,,13,13,0,
凤,齗,,14,14,0,
亿,齗,,15,15,0,
办,齗,,16,16,0,
忆,齗,,17,17,0,
旧,齗,,18,18,0,
讥,齗,,19,19,0,
议,齗,,20,20,0,
艺,齗,,21,21,0,
边,齗,,22,22,0,
兰,齗,,23,23,0,
让,齗,,24,24,0,
厅,齗,,25,25,0,
驴,齗,,26,26,0,
凿,齗,,27,27,0,
鹦,齗,,28,28,0,
乙,鹦,,29,1,28,0
二,鹦,,30,2,28,0
三,鹦,,31,3,28,0
才,鹦,,32,4,28,0
王,鹦,,33,5,28,0
打,鹦,,34,6,28,0
车,鹦,,35,7,28,0
门,鹦,,36,8,28,0
飞,鹦,,37,9,28,0
马,鹦,,38,10,28,0
习,鹦,,39,11,28,0
开,鹦,,40,12,28,0
义,鹦,,41,13,28,0
凤,鹦,,42,14,28,0
亿,鹦,,43,15,28,0
办,鹦,,44,16,28,0
忆,鹦,,45,17,28,0
旧,鹦,,46,18,28,0
讥,鹦,,47,19,28,0
议,鹦,,48,20,28,0
艺,鹦,,49,21,28,0
边,鹦,,50,22,28,0
兰,鹦,,51,23,28,0
让,鹦,,52,24,28,0
厅,鹦,,53,25,28,0
驴,鹦,,54,26,28,0
凿,鹦,,55,27,28,0
鹦,鹦,,56,28,28,0
乙,鹦,鹦,57,1,28,28
二,鹦,鹦,58,2,28,28
三,鹦,鹦,59,3,28,28
才,鹦,鹦,60,4,28,28
王,鹦,鹦,61,5,28,28
打,鹦,鹦,62,6,28,28
车,鹦,鹦,63,7,28,28
门,鹦,鹦,64,8,28,28
飞,鹦,鹦,65,9,28,28
马,鹦,鹦,66,10,28,28
习,鹦,鹦,67,11,28,28
开,鹦,鹦,68,12,28,28
义,鹦,鹦,69,13,28,28
凤,鹦,鹦,70,14,28,28
亿,鹦,鹦,71,15,28,28
办,鹦,鹦,72,16,28,28
忆,鹦,鹦,73,17,28,28
旧,鹦,鹦,74,18,28,28
讥,鹦,鹦,75,19,28,28
议,鹦,鹦,76,20,28,28
艺,鹦,鹦,77,21,28,28
边,鹦,鹦,78,22,28,28
兰,鹦,鹦,79,23,28,28
让,鹦,鹦,80,24,28,28
厅,鹦,鹦,81,25,28,28
